instancia,conjunto,numSensores,valorFO_mAms,tempoExecucao_s,numNosAtivos,numPontosDescobertos,gap_pct,status
inst1,conjunto1,10,1648.0988,0.0302,5,0,0.0,2
inst2,conjunto1,10,1321.9693,0.03,4,0,0.0,2
inst3,conjunto1,10,2021.0605,0.0475,5,0,0.0,2
inst4,conjunto1,10,2330.1043,0.0232,6,0,0.0,2
inst5,conjunto1,10,1661.7189,0.0255,5,0,0.0,2
inst6,conjunto1,10,1654.5872,0.0324,5,0,0.0,2
inst7,conjunto1,10,1324.5458,0.0281,4,0,0.0,2
inst8,conjunto1,10,1336.7056,0.0281,4,0,0.0,2
inst9,conjunto1,10,1233.6322,0.0248,3,0,0.0,2
inst10,conjunto1,10,1222.8746,0.0278,3,0,0.0,2
inst11,conjunto2,20,3559.7486,0.0947,9,0,0.0,2
inst12,conjunto2,20,3862.9674,0.2799,9,0,0.0003,2
inst13,conjunto2,20,3650.8859,0.1667,9,0,0.0,2
inst14,conjunto2,20,3624.3252,0.1655,10,0,0.0079,2
inst15,conjunto2,20,3527.7817,0.1145,9,0,0.0,2
inst16,conjunto2,20,3639.7998,0.1923,9,0,0.0,2
inst17,conjunto2,20,3850.5393,0.1081,9,0,0.0,2
inst18,conjunto2,20,3570.7604,0.1819,10,0,0.0,2
inst19,conjunto2,20,3653.8107,0.2232,10,0,0.0,2
inst20,conjunto2,20,3510.386,0.0806,9,0,0.0,2
inst21,conjunto3,36,1135373.8694,106.9688,29,11,0.0,2
inst22,conjunto3,36,952681.387,11.4956,32,9,0.0,2
inst23,conjunto3,36,843695.3548,22.4775,33,8,0.0,2
inst24,conjunto3,36,825799.7018,4.8966,30,8,0.0,2
inst25,conjunto3,36,1139011.6753,17.7693,31,11,0.0,2
